1.E,117,Kr,VL
2.E,320,Rmv,VE
3.E,324,Fla,V9
4.E,106,Jnk,V5
5.E,206,Ta,V0
6.E,119,Špe,UU
7.E,319,Sou,US
8.E,118,Br,UK
1.C,105,Špá,VM
2.C,318,Tur,VF
3.C,217,Bou,VA
4.C,107,Pyt,V6
5.C,211,Sej,V1
6.C,218,Le,UV
1.A,205,Ad,VN
2.A,219,Kč,VG
3.A,306,Ku,VB
4.A,207,Ši,V4
1.B,317,Ste,VO
2.B,220,Sim,VI
3.B,111,Rad,VC
4.B,120,Huc,V7
